semester_code,class_number,course_code,assessment_title,result,detail
7660,60652,ECON3210,In-semester Exam,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,60652,ECON3210,End-of-semester Exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.1,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.2,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.3,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.4,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.5,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60592,ECON7000,CLEAR-JE No.6,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO3, LO4, LO5"
7520,20901,ECON7002,"Author, Moderate and Answer Questions via RiPPLE",not carried,learning outcomes changed since 7460; check in Jac
7520,20901,ECON7002,Markets in Action,not carried,learning outcomes changed since 7460; check in Jac
7520,20901,ECON7002,Final Examination - On Campus Paper-based Exam,not carried,learning outcomes changed since 7460; check in Jac
7660,60757,ECON7002,"Author, Moderate and Answer Questions via RiPPLE",carried (whole)," -> LO1, LO2, LO3, LO4, LO5, LO6"
7660,60757,ECON7002,Markets in Action,carried (whole)," -> LO1, LO2, LO3, LO4, LO5, LO6"
7660,60757,ECON7002,End-of-Semester Exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5, LO6"
7660,60593,ECON7300,Pre-lecture Quizzes,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,60593,ECON7300,Project,carried (whole)," -> LO2, LO3"
7660,60593,ECON7300,End-of-semester Exam,carried (whole)," -> LO1, LO2, LO4"
7620,20320,EIBS7301,Idea Management Examination,carried (partial),"LO1, LO2, LO3 -> LO1, LO2, LO3, LO5"
7660,60407,EIBS7302,Blogging on innovation,not carried,learning outcomes changed since 7560; check in Jac
7660,60407,EIBS7302,Self-written case study,not carried,learning outcomes changed since 7560; check in Jac
7560,60395,EIBS7303,Building Innovation Capability,carried (partial),"LO1, LO2, LO4 -> LO1, LO2, LO3, LO4"
7660,60082,EIBS7304,Wellbeing Polarity Leadership Presentation,not carried,learning outcomes changed since 7560; check in Jac
7660,62231,ENVM7524,Quiz 1,carried (whole)," -> LO1, LO3, LO4"
7660,62231,ENVM7524,Case Study on Carbon Management,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,62231,ENVM7524,Quiz 2,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,62279,ENVM7524,Quiz 1,carried (whole)," -> LO1, LO3, LO4"
7660,62279,ENVM7524,Case Study on Carbon Management,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,62279,ENVM7524,Quiz 2,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60408,FINM3414,In-Semester Examination,carried (partial),"LO1, LO2, LO3 -> LO1, LO2, LO3, LO4"
7560,60208,FINM6403,Article review,carried (partial),"LO1, LO2 -> LO1, LO2, LO3"
7520,20306,FINM7407,In-Semester Exam,not carried,learning outcomes changed since 7460; check in Jac
7520,20306,FINM7407,Case Study Assignment,not carried,learning outcomes changed since 7460; check in Jac
7520,20306,FINM7407,Final Exam,not carried,learning outcomes changed since 7460; check in Jac
7660,60428,FINM7407,In-Semester Examination,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,60428,FINM7407,Case Study Assignment,carried (whole)," -> LO2, LO3, LO4, LO5"
7660,60428,FINM7407,Final Exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7520,20307,FINM7409,Final Exam,carried (partial),"LO1, LO3, LO4, LO5 -> LO1, LO2, LO3, LO4, LO5"
7660,60073,FINM7805,A1: Oral Presentation,carried (whole)," -> LO1, LO2, LO3"
7660,60073,FINM7805,A2: Financial Evaluation,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60175,FINM7805,A1: Oral Presentation,carried (whole)," -> LO1, LO2, LO3"
7660,60175,FINM7805,A2: Financial Evaluation,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7620,20344,HOSP2005,Reflective Essay,not carried,learning outcomes changed since 7520; check in Jac
7620,20344,HOSP2005,Business Advice on Restaurant Management,not carried,learning outcomes changed since 7520; check in Jac
7620,20346,HOSP7052,Queensland Gaming,not carried,learning outcomes changed since 7520; check in Jac
7620,20346,HOSP7052,Report on Innovative Technology,not carried,learning outcomes changed since 7520; check in Jac
7520,20313,IBUS2301,Case Study (Special Topics),not carried,learning outcomes changed since 7460; check in Jac
7520,20313,IBUS2301,Final Exam,not carried,learning outcomes changed since 7460; check in Jac
7660,60436,IBUS2301,Company Pitches,carried (whole)," -> LO2, LO3, LO4, LO5"
7660,60436,IBUS2301,Evaluations,carried (whole), -> LO4
7660,60436,IBUS2301,Case Study (Special Topics),carried (whole)," -> LO1, LO4"
7660,60436,IBUS2301,Final Exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60424,IBUS2309,"Cultural Immersion Reflection, Presentation, Quiz",not carried,learning outcomes changed since 7460; check in Jac
7560,60424,IBUS2309,Cross-Cultural Incident Analysis,not carried,learning outcomes changed since 7460; check in Jac
7560,60424,IBUS2309,Final Examination,not carried,learning outcomes changed since 7460; check in Jac
7660,60437,IBUS2309,Cross-Cultural Incident Analysis,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60209,IBUS3310,Company analysis,not carried,learning outcomes changed since 7460; check in Jac
7660,62574,IBUS3310,Case Study Presentation & Evaluations,carried (whole)," -> LO1, LO2, LO4, LO5"
7660,62574,IBUS3310,Company analysis,carried (whole)," -> LO1, LO2, LO3, LO4"
7520,20315,IBUS7302,In-Semester Exam,not carried,learning outcomes changed since 7460; check in Jac
7520,20315,IBUS7302,Final Exam,not carried,learning outcomes changed since 7460; check in Jac
7660,60439,IBUS7302,In-Semester Exam,carried (whole)," -> LO1, LO2, LO4, LO5"
7660,60439,IBUS7302,Topic Analysis Assignment,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60439,IBUS7302,Final Exam,carried (whole)," -> LO1, LO2, LO4, LO5"
7520,20317,IBUS7312,Asian Country Analysis - WKS Oral Presentation,not carried,learning outcomes changed since 7460; check in Jac
7520,20317,IBUS7312,Business In An Asian Region,not carried,learning outcomes changed since 7460; check in Jac
7660,61540,IBUS7312,Asian Country Analysis - WKS Oral Presentation,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,61540,IBUS7312,Business In An Asian Region,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7620,20268,LAWS3101,End-of-semester Examination,not carried,learning outcomes changed since 7560; check in Jac
7620,20352,MGTS1301,Final Exam,carried (partial),"LO1, LO2 -> LO1, LO2, LO3"
7660,60441,MGTS1301,Diary - Everest Simulation,not carried,learning outcomes changed since 7620; check in Jac
7660,60441,MGTS1301,Structured Analysis of Simulation Experience,not carried,learning outcomes changed since 7620; check in Jac
7660,60441,MGTS1301,Team-based tutorial assessment,not carried,learning outcomes changed since 7620; check in Jac
7660,60441,MGTS1301,Final Exam,not carried,learning outcomes changed since 7620; check in Jac
7520,20322,MGTS3301,Strategic Framework Analysis,not carried,learning outcomes changed since 7460; check in Jac
7660,60447,MGTS3301,The Carnival of AI,carried (whole)," -> LO1, LO2"
7560,60210,MGTS3606,Team Global Mobility Handbook,not carried,learning outcomes changed since 7460; check in Jac
7620,22291,MGTS3609,Series of 4 Quizzes,not carried,learning outcomes changed since 7560; check in Jac
7620,22291,MGTS3609,Group Presentation,not carried,learning outcomes changed since 7560; check in Jac
7620,22291,MGTS3609,Final Exam,not carried,learning outcomes changed since 7560; check in Jac
7620,20361,MGTS4603,Critical Analysis Presentation,not carried,learning outcomes changed since 7520; check in Jac
7660,60452,MGTS7301,In-Semester Examination,carried (whole)," -> LO1, LO3, LO4"
7560,60441,MGTS7329,Group Cross-Cultural Reflection & Emic Analysis,not carried,learning outcomes changed since 7460; check in Jac
7560,60441,MGTS7329,Cross-Cultural Work Adjustment Assignment,not carried,learning outcomes changed since 7460; check in Jac
7560,60441,MGTS7329,Final Examination,not carried,learning outcomes changed since 7460; check in Jac
7660,60454,MGTS7329,Group Cross-Cultural Reflection & Emic Analysis,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60454,MGTS7329,Cross-Cultural Work Adjustment Assignment,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60454,MGTS7329,Final Examination,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60442,MGTS7523,System Dynamics Modelling Assignment,not carried,learning outcomes changed since 7460; check in Jac
7660,60455,MGTS7523,Systems thinking report proposal,carried (whole)," -> LO1, LO3"
7660,60455,MGTS7523,Systems Thinking Presentation,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60455,MGTS7523,In-class Model Design Challenge,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,60455,MGTS7523,System Dynamics Modelling Assignment,carried (whole)," -> LO1, LO2, LO3, LO4"
7620,20365,MGTS7603,A1: In Seminar Exercises,carried (partial),"LO1, LO2, LO3 -> LO1, LO2, LO3, LO4, LO5"
7620,20365,MGTS7603,A2: Current Issues in Strategic Human Resource Mang,carried (partial),"LO1, LO4, LO5 -> LO1, LO2, LO3, LO4, LO5"
7560,60211,MGTS7604,In-Semester Exam,not carried,learning outcomes changed since 7460; check in Jac
7560,60211,MGTS7604,Team Consulting Report,not carried,learning outcomes changed since 7460; check in Jac
7560,60211,MGTS7604,Consulting Presentation,not carried,learning outcomes changed since 7460; check in Jac
7660,60176,MGTS7803,A1: Advisory report to develop strategic options,carried (whole)," -> LO1, LO2"
7660,60176,MGTS7803,A2: Selecting & Recommending Implementation of a Strategic Option,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60176,MGTS7803,A3: Business Simulation Reflection,carried (whole)," -> LO1, LO2, LO4, LO5"
7520,22497,MGTS7810,Input-Process-Output (IPO) Analysis,not carried,learning outcomes changed since 7460; check in Jac
7520,22497,MGTS7810,Assessment 2 Individual Case Analysis,not carried,learning outcomes changed since 7460; check in Jac
7660,60074,MGTS7810,Assessment 2 Individual Case Analysis,carried (whole)," -> LO1, LO2, LO3"
7660,62573,MGTS7810,Input-Process-Output (IPO) Analysis,carried (whole)," -> LO1, LO2"
7660,62573,MGTS7810,Assessment 1: Small Group Presentation PowerPoint,carried (whole)," -> LO1, LO2, LO3"
7660,62573,MGTS7810,Assessment 2 Individual Case Analysis,carried (whole)," -> LO1, LO2, LO3"
7660,60178,MGTS7812,A1: Stakeholder Simulation,carried (whole)," -> LO1, LO3, LO4"
7660,60178,MGTS7812,A2: Organisation Case-Study - Closing the Gap Group Presentation,carried (whole)," -> LO1, LO2, LO4"
7660,60093,MGTS7820,A1: Stakeholder and Situation Analysis,carried (whole)," -> LO1, LO4"
7660,60093,MGTS7820,A2: Personal Reflection - Individual,carried (whole)," -> LO2, LO3"
7660,60093,MGTS7820,A3: Final Presentation,carried (whole)," -> LO1, LO2, LO4"
7520,20335,MKTG2501,Consumer Behaviour Case Study,carried (partial),"LO2, LO3, LO4, LO5 -> LO1, LO2, LO3, LO4, LO5"
7620,20369,MKTG2501,In-Semester Examination,carried (partial),"LO1, LO2, LO3 -> LO1, LO2, LO3, LO5"
7660,60466,MKTG7503,Assessment 1: Poster Presentation,carried (whole)," -> LO1, LO2, LO5"
7660,60466,MKTG7503,Assessment 2: Research Report (Group project),carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60466,MKTG7503,Assessment 3: Final Exam,carried (whole)," -> LO1, LO2"
7660,60095,MKTG7513,Social Change Project - Part B - Team Social Marketing Strategy Pitch,carried (partial),"LO1, LO3, LO4, LO5 -> LO1, LO2, LO3, LO4, LO5"
7660,60287,RBUS4411,Presentation and analysis of academic research method,carried (whole)," -> LO1, LO3, LO5"
7560,62732,RBUS4999,A3. Professional Development Plan,carried (partial),"LO4, LO5 -> LO3, LO4, LO5"
7580,80070,RBUS4999,A2. Workplace reflection,carried (partial),"LO3, LO4 -> LO1, LO3, LO4"
7620,20125,RBUS6902,Report,carried (partial),"LO1, LO2, LO3, LO5 -> LO1, LO2, LO3, LO4, LO5, LO6"
7620,20379,RBUS6996,Honours Thesis Topic/Supervisor Details,not carried,learning outcomes changed since 7520; check in Jac
7620,20379,RBUS6996,Honours Thesis Topic/Supervisor Agreement,not carried,learning outcomes changed since 7520; check in Jac
7560,60104,RBUS7888,A1: Critical Reflection,carried (partial),"LO1, LO2, LO3 -> LO1, LO2, LO3, LO4, LO5"
7660,62432,RBUS7985,Research Proposal Presentation,not carried,learning outcomes changed since 7560; check in Jac
7660,60102,TIMS3310,Wellbeing Polarity Mapping,not carried,learning outcomes changed since 7560; check in Jac
7660,60478,TIMS3311,Project or business case proposal presentation,not carried,learning outcomes changed since 7560; check in Jac
7660,60478,TIMS3311,Project report or business case,not carried,learning outcomes changed since 7560; check in Jac
7620,20383,TIMS7317,Reflection - Creating Change for Sustainability,not carried,learning outcomes changed since 7560; check in Jac
7620,20383,TIMS7317,Team Sustainability Role Play and Report,not carried,learning outcomes changed since 7560; check in Jac
7620,20383,TIMS7317,Exam,not carried,learning outcomes changed since 7560; check in Jac
7620,22414,TIMS7811,Critical Reflection Essay,carried (partial),"LO2, LO3 -> LO1, LO2, LO3"
7660,60481,TOUR1004,Test bank exercises,carried (whole)," -> LO1, LO3, LO4"
7520,20355,TOUR7000,Online Quiz,carried (partial),"LO1 -> LO1, LO4"
7660,60483,TOUR7020,Desk Audit,carried (whole)," -> LO1, LO3"
7660,60483,TOUR7020,Impact Analysis,carried (whole)," -> LO1, LO3"
7660,60483,TOUR7020,System Report,carried (whole)," -> LO2, LO3, LO4"
7620,20389,TOUR7021,Service Experience Oral Pitch,carried (partial),"LO1, LO2, LO4 -> LO1, LO2, LO3, LO4"
7660,60486,TOUR7023,"Tourism Destination Assessment: Audit, Infographic and Panel Discussion",carried (whole)," -> LO1, LO2"
7660,60486,TOUR7023,Case Study Report,carried (whole)," -> LO3, LO4, LO5"
7620,20392,TOUR7031,Critique of Visitor Site,carried (partial),"LO1, LO2, LO5 -> LO1, LO2, LO4, LO5"
7660,60488,TOUR7032,Segmentation and Distribution Channel Review,carried (whole)," -> LO1, LO2"
7660,60488,TOUR7032,Competition Analysis,carried (whole)," -> LO1, LO2, LO3"
7560,60477,TOUR7051,Destination Market Analysis,not carried,learning outcomes changed since 7460; check in Jac
7560,60477,TOUR7051,IMC Plan,not carried,learning outcomes changed since 7460; check in Jac
7660,60490,TOUR7051,Destination Market Analysis,carried (whole)," -> LO1, LO2, LO3, LO6"
